epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4079,1.70815,5.11103,2.17248,0.17273,0.41304,0.19388,0.09849,1.84778,5.9373,2.35827,3.008e-05,3.008e-05,3.008e-05
2,186.466,1.85736,3.64472,2.20225,0.78016,0.36957,0.26691,0.13534,1.82587,5.4545,2.32965,4.90022e-05,4.90022e-05,4.90022e-05
3,278.362,1.67919,2.58717,2.02206,0.76537,0.39345,0.27845,0.1524,1.81048,5.46545,2.30268,5.56405e-05,5.56405e-05,5.56405e-05
4,369.01,1.59862,2.30932,1.85278,0.76805,0.41304,0.29158,0.17293,1.72729,5.38913,2.18568,3.8164e-05,3.8164e-05,3.8164e-05
5,458.642,1.67419,2.39254,1.98888,0.7773,0.32609,0.29893,0.17344,1.72683,5.15348,2.20712,1.9552e-05,1.9552e-05,1.9552e-05
