,模型类型,参数数(M),mAP50,mAP50_95,平均精度,平均召回,FPS,平均推理时间(ms),模型体积(MB),训练时间(h)
YOLOv8n,检测模型,3.34,0.2905360584426071,0.19244028005522465,0.37982469335124086,0.20283382949206147,99.53723523922802,10.046491622924805,6.616745948791504,0.5058875303798251
YOLOv5s,检测模型,9.15,0.3957652298837935,0.26857791491233557,0.500740801412076,0.29046877098484347,87.15311925917321,11.474058628082275,17.75613498687744,0.7733783344427745
YOLOv8m,检测模型,25.9,0.46593088573719815,0.31837926445094317,0.5584277451027275,0.37432286109395385,39.49625862693873,25.318853855133057,49.753296852111816,1.6569981325997247
