epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,14187,0.77522,1.36559,1.22077,0.738320,0.770930,0.771720,0.493630,0.86761,1.12206,1.34264,4.62571e-05,4.62571e-05,4.62571e-05
40,14552.9,0.77537,1.34204,1.2232,0.740040,0.773730,0.775760,0.498270,0.86687,1.12024,1.34189,4.48429e-05,4.48429e-05,4.48429e-05
41,14917.2,0.76933,1.31493,1.21352,0.738630,0.770970,0.773030,0.497620,0.86698,1.11608,1.34184,4.34286e-05,4.34286e-05,4.34286e-05
42,15280.5,0.77389,1.32408,1.21957,0.737440,0.769870,0.772440,0.497270,0.86702,1.11614,1.34172,4.20143e-05,4.20143e-05,4.20143e-05
43,15645.2,0.76989,1.30901,1.21669,0.736640,0.767240,0.770960,0.498360,0.86815,1.11364,1.34332,4.06e-05,4.06e-05,4.06e-05
44,16009.1,0.76301,1.29644,1.21303,0.741490,0.770110,0.773630,0.499750,0.86884,1.11313,1.34417,3.91857e-05,3.91857e-05,3.91857e-05
45,16373.5,0.76518,1.29868,1.21754,0.747260,0.763560,0.772910,0.498020,0.86932,1.11172,1.34441,3.77714e-05,3.77714e-05,3.77714e-05
46,16737.5,0.76127,1.29486,1.20935,0.740110,0.772430,0.775580,0.498990,0.86889,1.1122,1.34401,3.63571e-05,3.63571e-05,3.63571e-05
47,17097.5,0.76686,1.29552,1.2106,0.740130,0.771380,0.775340,0.499160,0.86792,1.11161,1.34314,3.49429e-05,3.49429e-05,3.49429e-05
48,17461.3,0.76579,1.28537,1.21083,0.738360,0.774650,0.776130,0.500420,0.86746,1.11043,1.34261,3.35286e-05,3.35286e-05,3.35286e-05
49,17824.3,0.7609,1.27869,1.20619,0.737620,0.776250,0.776110,0.500400,0.86713,1.10945,1.34237,3.21143e-05,3.21143e-05,3.21143e-05
50,18188.4,0.76519,1.26506,1.21014,0.737770,0.777120,0.775780,0.500330,0.86712,1.10769,1.34224,3.07e-05,3.07e-05,3.07e-05
51,18550.8,0.76079,1.28098,1.20639,0.740320,0.775740,0.775730,0.499850,0.86737,1.10588,1.34256,2.92857e-05,2.92857e-05,2.92857e-05
52,18911.4,0.76092,1.25961,1.20679,0.750190,0.764810,0.774470,0.499020,0.86714,1.10487,1.34264,2.78714e-05,2.78714e-05,2.78714e-05
53,19276.3,0.75892,1.25763,1.20598,0.750610,0.758930,0.773770,0.497780,0.86708,1.10454,1.3426,2.64571e-05,2.64571e-05,2.64571e-05
54,19641.1,0.76005,1.24735,1.20225,0.752800,0.758740,0.774610,0.498550,0.86706,1.10396,1.34254,2.50429e-05,2.50429e-05,2.50429e-05
55,20005.1,0.75786,1.24705,1.20707,0.751120,0.761810,0.774690,0.498450,0.8671,1.10392,1.34275,2.36286e-05,2.36286e-05,2.36286e-05
56,20369.5,0.76177,1.25458,1.20569,0.769050,0.748650,0.775690,0.499300,0.86727,1.1035,1.34291,2.22143e-05,2.22143e-05,2.22143e-05
57,20733.7,0.75675,1.23994,1.20384,0.769670,0.746460,0.775630,0.499090,0.86739,1.103,1.34313,2.08e-05,2.08e-05,2.08e-05
58,21098.1,0.75462,1.23837,1.2016,0.767300,0.748820,0.774030,0.497620,0.86751,1.10221,1.34321,1.93857e-05,1.93857e-05,1.93857e-05
