epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,18502.9,1.27436,1.64747,1.56127,0.63314,0.6399,0.63982,0.40884,1.36143,1.04107,1.74422,6.19677e-05,6.19677e-05,6.19677e-05
40,18976.6,1.27829,1.64307,1.56061,0.62647,0.64175,0.64105,0.41029,1.36196,1.04048,1.74367,6.10909e-05,6.10909e-05,6.10909e-05
41,19450.7,1.2735,1.64322,1.55969,0.62973,0.64251,0.64072,0.40943,1.36175,1.035,1.74214,6.02e-05,6.02e-05,6.02e-05
42,19924.1,1.26784,1.62253,1.55404,0.63765,0.64948,0.64761,0.41586,1.35923,1.03075,1.74201,5.92955e-05,5.92955e-05,5.92955e-05
43,20397.6,1.2654,1.61794,1.55091,0.63331,0.64838,0.6438,0.41338,1.36102,1.03021,1.74147,5.8378e-05,5.8378e-05,5.8378e-05
44,20871.4,1.26524,1.61034,1.54997,0.63668,0.65318,0.64932,0.41808,1.35459,1.02603,1.73718,5.74482e-05,5.74482e-05,5.74482e-05
45,21345.7,1.26758,1.6185,1.55175,0.63393,0.65277,0.64787,0.41969,1.35139,1.02322,1.73386,5.65068e-05,5.65068e-05,5.65068e-05
46,21819.7,1.26214,1.60268,1.54914,0.63998,0.64704,0.65018,0.41991,1.35004,1.0178,1.73285,5.55543e-05,5.55543e-05,5.55543e-05
47,22293.8,1.2645,1.59948,1.54517,0.63821,0.64931,0.65124,0.41954,1.349,1.01449,1.7314,5.45914e-05,5.45914e-05,5.45914e-05
48,22767.9,1.25622,1.58121,1.54367,0.64693,0.65467,0.65628,0.42288,1.35128,1.01354,1.7327,5.36188e-05,5.36188e-05,5.36188e-05
49,23241.7,1.2587,1.58479,1.54876,0.63881,0.65007,0.64963,0.42019,1.3531,1.01031,1.73235,5.26371e-05,5.26371e-05,5.26371e-05
50,23714.3,1.25901,1.577,1.54352,0.66087,0.65513,0.66234,0.42825,1.35079,1.00449,1.73027,5.1647e-05,5.1647e-05,5.1647e-05
51,24188.4,1.26017,1.58604,1.54839,0.65791,0.65439,0.66098,0.42672,1.34902,1.00057,1.72895,5.06492e-05,5.06492e-05,5.06492e-05
52,24661.4,1.25295,1.55744,1.53981,0.65155,0.65517,0.65933,0.42659,1.34884,0.99889,1.72924,4.96444e-05,4.96444e-05,4.96444e-05
53,25134.3,1.25401,1.55759,1.54259,0.64881,0.65952,0.66033,0.42845,1.34612,0.99593,1.72693,4.86333e-05,4.86333e-05,4.86333e-05
54,25607.4,1.25533,1.56136,1.54319,0.64914,0.66394,0.6603,0.4289,1.3448,0.99378,1.72571,4.76165e-05,4.76165e-05,4.76165e-05
55,26080.3,1.25153,1.55186,1.54059,0.64298,0.6647,0.65641,0.42662,1.34448,0.99268,1.72494,4.65948e-05,4.65948e-05,4.65948e-05
56,26553.4,1.25799,1.54637,1.53969,0.6405,0.66297,0.65581,0.42652,1.34375,0.99116,1.72428,4.55688e-05,4.55688e-05,4.55688e-05
57,27027,1.25113,1.53925,1.54044,0.64041,0.66173,0.65606,0.42659,1.34344,0.98892,1.72385,4.45393e-05,4.45393e-05,4.45393e-05
